,taxon_name_w_authors,v10_11_12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
179516,Utricularia damazioi Beauverd,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia damazioi Beauverd,Utricularia damazioi Beauverd
179517,Utricularia dawsonii Steyerm.,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia damazioi Beauverd,Utricularia damazioi Beauverd
179521,Utricularia adenantha Standl.,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia hirtella A.St.-Hil. & Girard,Utricularia hirtella A.St.-Hil. & Girard
179522,Utricularia bicolor A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia bicolor A.St.-Hil. & Girard,Utricularia bicolor A.St.-Hil. & Girard
179523,Utricularia bolivarana Steyerm.,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia amethystina Salzm. ex A.St.-Hil. & Girard,Utricularia hirtella A.St.-Hil. & Girard,Utricularia hirtella A.St.-Hil. & Girard
179734,Utricularia vulgaris var. japonica (Makino) Tamura,Utricularia macrorhiza Leconte,Utricularia macrorhiza Leconte,Utricularia macrorhiza Leconte,Utricularia macrorhiza Leconte,Utricularia × japonica Makino,Utricularia × japonica Makino
179750,Utricularia multispinosa (Miki) Miki,Utricularia minor L.,Utricularia minor L.,Utricularia minor L.,Utricularia minor L.,Utricularia multispinosa (Miki) Miki,Utricularia multispinosa (Miki) Miki
179751,Utricularia minor var. multispinosa Miki,Utricularia minor L.,Utricularia minor L.,Utricularia minor L.,Utricularia minor L.,Utricularia multispinosa (Miki) Miki,Utricularia multispinosa (Miki) Miki
179998,Paeonia corallina f. leiocarpa (Coss.) Knoche,Paeonia cambessedesii (Willk.) Willk.,Paeonia cambessedesii (Willk.) Willk.,Paeonia cambessedesii (Willk.) Willk.,Paeonia cambessedesii (Willk.) Willk.,Paeonia corsica Sieber ex Tausch,Paeonia corsica Sieber ex Tausch
180869,Nomocharis pardanthina f. punctulata Sealy,Lilium pardanthinum (Franch.) Y.D.Gao,Lilium pardanthinum (Franch.) Y.D.Gao,Lilium pardanthinum (Franch.) Y.D.Gao,Lilium pardanthinum (Franch.) Y.D.Gao,Lilium punctulatum (Sealy) Yu Mei Yuan & Y.D.Gao,Lilium punctulatum (Sealy) Yu Mei Yuan & Y.D.Gao
181222,Quercus lusitanica f. submembranacea Cout.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.,Quercus faginea subsp. faginea,Quercus faginea Lam.
181594,Anoectochilus tonkinensis Gagnep.,Odontochilus brevistylis subsp. brevistylis,Odontochilus brevistylis subsp. brevistylis,Odontochilus brevistylis subsp. brevistylis,Odontochilus brevistylis Hook.f.,Odontochilus tonkinensis (Gagnep.) Ormerod & Aver.,Odontochilus tonkinensis (Gagnep.) Ormerod & Aver.
182582,Festuca yvesii subsp. bellottii (Auquier & Kerguélen) Kerguélen,"Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi",Festuca billyi Kerguélen & Plonka,Festuca billyi Kerguélen & Plonka
182584,Festuca durissima subsp. bellottii Auquier & Kerguélen,"Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi",Festuca billyi Kerguélen & Plonka,Festuca billyi Kerguélen & Plonka
183781,Stachytarpheta fiebrigii Moldenke,Citharexylum amabile (Bocq.) Christenh. & Byng,Citharexylum amabile (Bocq.) Christenh. & Byng,Citharexylum amabile (Bocq.) Christenh. & Byng,Citharexylum amabile (Bocq.) Christenh. & Byng,Stachytarpheta fiebrigii Moldenke,Stachytarpheta fiebrigii Moldenke
184583,Eria rupestris Blatt. & McCann,"Porpax braccata (Lindl.) Schuit., Y.P.Ng & H.A.Pedersen","Porpax braccata (Lindl.) Schuit., Y.P.Ng & H.A.Pedersen","Porpax braccata (Lindl.) Schuit., Y.P.Ng & H.A.Pedersen","Porpax braccata (Lindl.) Schuit., Y.P.Ng & H.A.Pedersen",Porpax reticosa (Wight) Schuit.,Porpax reticosa (Wight) Schuit.
185837,Canthium carinatum Pierre ex Pit.,Canthiumera siamensis (K.Schum.) K.M.Wong,Canthiumera siamensis (K.Schum.) K.M.Wong,Canthiumera siamensis (K.Schum.) K.M.Wong,Canthiumera siamensis (K.Schum.) K.M.Wong,Canthiumera robusta K.M.Wong & X.Y.Ng,Canthiumera robusta K.M.Wong & X.Y.Ng
187655,"Narcissus × villasrubiensis var. maurensis González, Patino, Solís & Urrutia","Narcissus × villasrubiensis González, Patino, Solís & Urrutia","Narcissus × villasrubiensis González, Patino, Solís & Urrutia",Narcissus × richardianus P.Escobar,Narcissus × richardianus P.Escobar,Narcissus × rupidulus Fern.Casas & Susanna,Narcissus × rupidulus Fern.Casas & Susanna
187722,Marsdenia obovata Turcz.,"Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve",Ruehssia affinis (A.Rich.) Morillo,Ruehssia affinis (A.Rich.) Morillo
187724,Marsdenia campanulata Griseb.,"Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve",Ruehssia campanulata (Griseb.) Morillo & Mora Méndez,Ruehssia campanulata (Griseb.) Morillo & Mora Méndez
187725,Marsdenia campanulata var. bifida Griseb.,"Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve",Ruehssia campanulata (Griseb.) Morillo & Mora Méndez,Ruehssia campanulata (Griseb.) Morillo & Mora Méndez
187726,Marsdenia affinis A.Rich.,"Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve","Ruehssia clausa (R.Br.) Liede, S.Reuss & Meve",Ruehssia affinis (A.Rich.) Morillo,Ruehssia affinis (A.Rich.) Morillo
188505,Poa pratensis var. domestica Laest.,Poa pratensis subsp. pratensis,Poa pratensis subsp. pratensis,Poa pratensis subsp. pratensis,Poa pratensis L.,Poa alpigena Lindm.,Poa alpigena Lindm.
188767,Panicum crus-galli var. longisetum Döll,Echinochloa crus-galli subsp. crus-galli,Echinochloa crus-galli subsp. crus-galli,Echinochloa crus-galli subsp. crus-galli,Echinochloa crus-galli (L.) P.Beauv.,Echinochloa oryzoides (Ard.) Fritsch,Echinochloa oryzoides (Ard.) Fritsch
190404,Marsdenia beckii Morillo,Ruehssia castillonii (Lillo ex T.Mey.) H.A.Keller & Liede,Ruehssia castillonii (Lillo ex T.Mey.) H.A.Keller & Liede,Ruehssia castillonii (Lillo ex T.Mey.) H.A.Keller & Liede,Ruehssia castillonii (Lillo ex T.Mey.) H.A.Keller & Liede,Ruehssia beckii (Morillo) Morillo,Ruehssia beckii (Morillo) Morillo
190665,Eucalyptus dealbata var. populnea Blakely,Eucalyptus dealbata subsp. dealbata,Eucalyptus dealbata subsp. dealbata,Eucalyptus dealbata subsp. dealbata,Eucalyptus dealbata A.Cunn. ex S.Schauer,Eucalyptus infera A.R.Bean,Eucalyptus infera A.R.Bean
192257,Knautia arvensis f. ceretanica (Sennen) O.Bolòs & Vigo,Knautia arvensis (L.) Coult.,Knautia arvensis (L.) Coult.,Knautia arvensis (L.) Coult.,Knautia arvensis (L.) Coult.,Knautia collina (Gaudin) Jord.,Knautia collina (Gaudin) Jord.
192259,Knautia arvensis subsp. meridionalis (Briq.) O.Bolòs & Vigo,Knautia arvensis (L.) Coult.,Knautia arvensis (L.) Coult.,Knautia arvensis (L.) Coult.,Knautia arvensis (L.) Coult.,Knautia collina (Gaudin) Jord.,Knautia collina (Gaudin) Jord.
192858,Kalanchoe rosea C.B.Clarke,Kalanchoe laciniata (L.) DC.,Kalanchoe laciniata (L.) DC.,Kalanchoe laciniata (L.) DC.,Kalanchoe laciniata (L.) DC.,Kalanchoe rosea C.B.Clarke,Kalanchoe rosea C.B.Clarke
192913,Kalanchoe stearnii Raym.-Hamet,Kalanchoe rotundifolia (Haw.) Haw.,Kalanchoe rotundifolia (Haw.) Haw.,Kalanchoe rotundifolia (Haw.) Haw.,Kalanchoe rotundifolia (Haw.) Haw.,Kalanchoe stearnii Raym.-Hamet,Kalanchoe stearnii Raym.-Hamet
193218,Lobivia acanthoplegma var. oligotricha (Cárdenas) Gertel & R.Wahl,Lobivia cinnabarina (Hook.) Britton & Rose,Lobivia cinnabarina (Hook.) Britton & Rose,Lobivia cinnabarina (Hook.) Britton & Rose,Lobivia cinnabarina (Hook.) Britton & Rose,Echinopsis oligotricha (Cárdenas) M.Lowry,Echinopsis oligotricha (Cárdenas) M.Lowry
194494,Lonicera dioica var. douglasii (Lindl.) Farw.,Lonicera dioica L.,Lonicera dioica L.,Lonicera dioica L.,Lonicera dioica L.,Lonicera hirsuta Eaton,Lonicera hirsuta Eaton
195525,Lappula inconspicua Brand,Lappula redowskii (Hornem.) Greene,Lappula redowskii (Hornem.) Greene,Lappula redowskii (Hornem.) Greene,Lappula redowskii (Hornem.) Greene,Lappula occidentalis (S.Watson) Greene,Lappula occidentalis (S.Watson) Greene
195531,Echinospermum strictum Nees,Lappula redowskii (Hornem.) Greene,Lappula redowskii (Hornem.) Greene,Lappula redowskii (Hornem.) Greene,Lappula redowskii (Hornem.) Greene,Lappula texana (Scheele) Britton,Lappula texana (Scheele) Britton
195547,Lithospermum onosmodium J.I.Cohen,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum caroliniense var. caroliniense,Lithospermum caroliniense (J.F.Gmel.) MacMill.
195548,Onosmodium molle subsp. bejariense (DC.) Cochrane,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum caroliniense var. caroliniense,Lithospermum caroliniense (J.F.Gmel.) MacMill.
195549,Onosmodium bejariense DC.,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum caroliniense var. caroliniense,Lithospermum caroliniense (J.F.Gmel.) MacMill.
195550,Onosmodium molle var. bejariense (DC.) Cronquist,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum molle (Michx.) Muhl.,Lithospermum caroliniense var. caroliniense,Lithospermum caroliniense (J.F.Gmel.) MacMill.
196322,Lonchocarpus xuul Lundell,Lonchocarpus guatemalensis Benth.,Lonchocarpus guatemalensis Benth.,Lonchocarpus guatemalensis Benth.,Lonchocarpus guatemalensis Benth.,Lonchocarpus xuul Lundell,Lonchocarpus xuul Lundell
196327,Derris nicoyensis Donn.Sm.,Lonchocarpus acuminatus (Schltdl.) M.Sousa,Lonchocarpus acuminatus (Schltdl.) M.Sousa,Lonchocarpus acuminatus (Schltdl.) M.Sousa,Lonchocarpus acuminatus (Schltdl.) M.Sousa,Lonchocarpus nicoyensis (Donn.Sm.) Pittier,Lonchocarpus nicoyensis (Donn.Sm.) Pittier
196979,Lupinus divorsus C.P.Sm.,Lupinus burkartianus C.P.Sm.,Lupinus burkartianus C.P.Sm.,Lupinus burkartianus C.P.Sm.,Lupinus burkartianus C.P.Sm.,Lupinus austrorientalis var. umidicola (C.P.Sm.) Planchuelo,Lupinus austrorientalis C.P.Sm.
197071,Lupinus pumicola A.Heller,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus albicaulis Douglas,Lupinus albicaulis Douglas
197075,Lupinus caesius Eastw.,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus arbustus Douglas,Lupinus arbustus Douglas
197076,Lupinus andersonii var. sublinearis C.P.Sm.,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson,Lupinus grayi S.Watson,Lupinus grayi S.Watson
197153,Lupinus brittonii Abrams,Lupinus longifolius (S.Watson) Abrams,Lupinus longifolius (S.Watson) Abrams,Lupinus longifolius (S.Watson) Abrams,Lupinus longifolius (S.Watson) Abrams,Lupinus albifrons var. albifrons,Lupinus albifrons Benth.
198277,Cylicodaphne leefeana F.Muell.,Litsea ferruginea (Blume) Blume,Litsea ferruginea (Blume) Blume,Litsea ferruginea (Blume) Blume,Litsea ferruginea (Blume) Blume,Litsea leefeana (F.Muell.) Merr.,Litsea leefeana (F.Muell.) Merr.
199171,Lupinus mariposanus Eastw.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens Drew,Lupinus adsurgens Drew,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson
199177,Lupinus louise-grisetae C.P.Sm.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens Drew,Lupinus adsurgens Drew,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson
199178,Lupinus lingulae C.P.Sm.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens var. undulatus C.P.Sm.,Lupinus adsurgens Drew,Lupinus adsurgens Drew,Lupinus andersonii S.Watson,Lupinus andersonii S.Watson
200366,Mammillaria manana W.A.Fitz Maur. & B.Fitz Maur.,Mammillaria fittkaui subsp. limonensis (Repp.) Lüthy,Mammillaria fittkaui subsp. limonensis (Repp.) Lüthy,Mammillaria limonensis Repp.,Mammillaria limonensis Repp.,Mammillaria manana W.A.Fitz Maur. & B.Fitz Maur.,Mammillaria manana W.A.Fitz Maur. & B.Fitz Maur.
201074,Onosma emodi var. stelligera (I.M.Johnst.) R.R.Mill,Maharanga emodi (Wall.) DC.,Maharanga emodi (Wall.) DC.,Maharanga emodi (Wall.) DC.,Maharanga emodi (Wall.) DC.,Maharanga vestita var. stelligera (I.M.Johnst.) L.Cecchi & Hilger,Maharanga vestita (Wall. ex G.Don) L.Cecchi & Hilger
201076,Onosma vestita Wall. ex G.Don,Maharanga emodi (Wall.) DC.,Maharanga emodi (Wall.) DC.,Maharanga emodi (Wall.) DC.,Maharanga emodi (Wall.) DC.,Maharanga vestita (Wall. ex G.Don) L.Cecchi & Hilger,Maharanga vestita (Wall. ex G.Don) L.Cecchi & Hilger
201174,Cyathocalyx subsessilis Ast,Meiogyne virgata (Blume) Miq.,Meiogyne virgata (Blume) Miq.,Meiogyne virgata (Blume) Miq.,Meiogyne virgata (Blume) Miq.,Meiogyne subsessilis (Ast) J.Sinclair,Meiogyne subsessilis (Ast) J.Sinclair
201176,Meiogyne subsessilis (Ast) J.Sinclair,Meiogyne virgata (Blume) Miq.,Meiogyne virgata (Blume) Miq.,Meiogyne virgata (Blume) Miq.,Meiogyne virgata (Blume) Miq.,Meiogyne subsessilis (Ast) J.Sinclair,Meiogyne subsessilis (Ast) J.Sinclair
201330,Popowia pynaertii De Wild.,Monanthotaxis diclina (Sprague) Verdc.,Monanthotaxis diclina (Sprague) Verdc.,Monanthotaxis diclina (Sprague) Verdc.,Monanthotaxis diclina (Sprague) Verdc.,Monanthotaxis pynaertii (De Wild.) P.H.Hoekstra,Monanthotaxis pynaertii (De Wild.) P.H.Hoekstra
203485,Melocactus acunae León,Melocactus harlowii (Britton & Rose) Vaupel,Melocactus harlowii (Britton & Rose) Vaupel,Melocactus harlowii (Britton & Rose) Vaupel,Melocactus harlowii (Britton & Rose) Vaupel,Melocactus acunae León,Melocactus acunae León
203486,Melocactus perezassoi Areces,Melocactus harlowii (Britton & Rose) Vaupel,Melocactus harlowii (Britton & Rose) Vaupel,Melocactus harlowii (Britton & Rose) Vaupel,Melocactus harlowii (Britton & Rose) Vaupel,Melocactus perezassoi Areces,Melocactus perezassoi Areces
205639,Opuntia gilva A.Berger,Opuntia tuna (L.) Mill.,Opuntia tuna (L.) Mill.,Opuntia tuna (L.) Mill.,Opuntia tuna (L.) Mill.,Opuntia jamaicensis Britton & Harris,Opuntia jamaicensis Britton & Harris
205938,Thlaspi alpestre var. gracile Gilg & Muschl.,Noccaea alpestris (Jacq.) Kerguélen,Noccaea alpestris (Jacq.) Kerguélen,Noccaea alpestris (Jacq.) Kerguélen,Noccaea alpestris (Jacq.) Kerguélen,Noccaea magellanica (Pers.) Holub,Noccaea magellanica (Pers.) Holub
206720,Nepenthes maxima var. lowii (Hook.f.) Becc.,Nepenthes lowii Hook.f.,Nepenthes lowii Hook.f.,Nepenthes lowii Hook.f.,Nepenthes lowii Hook.f.,Nepenthes stenophylla Mast.,Nepenthes stenophylla Mast.
206985,Nepenthes alba Ridl.,Nepenthes gracillima Ridl.,Nepenthes gracillima Ridl.,Nepenthes gracillima Ridl.,Nepenthes gracillima Ridl.,Nepenthes alba Ridl.,Nepenthes alba Ridl.
207127,Nuphar advena subsp. ozarkana (G.S.Mill. & Standl.) Padgett,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.
207129,Nymphaea ozarkana G.S.Mill. & Standl.,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.
207140,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.
207144,Nuphar lutea subsp. ozarkana (G.S.Mill. & Standl.) Beal,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.
207146,Nymphozanthus ozarkanus (G.S.Mill. & Standl.) E.J.Palmer & Steyerm.,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar advena (Aiton) W.T.Aiton,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.,Nuphar ozarkana (G.S.Mill. & Standl.) Standl.
207211,Nepenthes talangensis Nerz & Wistuba,Nepenthes bongso Korth.,Nepenthes bongso Korth.,Nepenthes bongso Korth.,Nepenthes bongso Korth.,Nepenthes talangensis Nerz & Wistuba,Nepenthes talangensis Nerz & Wistuba
207578,Ocotea minarum var. canescens (Meisn.) Mez,Ocotea minarum (Nees & Mart.) Mez,Ocotea minarum (Nees & Mart.) Mez,Ocotea minarum (Nees & Mart.) Mez,Ocotea minarum (Nees & Mart.) Mez,Nectandra psammophila Nees & Mart.,Nectandra psammophila Nees & Mart.
207594,Ocotea persulcata C.K.Allen,Ocotea leucoxylon (Sw.) Laness.,Ocotea leucoxylon (Sw.) Laness.,Ocotea leucoxylon (Sw.) Laness.,Ocotea leucoxylon (Sw.) Laness.,Ocotea persulcata C.K.Allen,Ocotea persulcata C.K.Allen
208246,Onobrychis radiata f. pjatigorskiensis Širj.,Onobrychis radiata (Desf.) M.Bieb.,Onobrychis radiata (Desf.) M.Bieb.,Onobrychis radiata (Desf.) M.Bieb.,Onobrychis radiata (Desf.) M.Bieb.,Onobrychis vaginalis C.A.Mey.,Onobrychis vaginalis C.A.Mey.
209068,Opuntia robusta var. megacantha (Salm-Dyck) Schelle,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.,Opuntia megacantha Salm-Dyck,Opuntia megacantha Salm-Dyck
209072,Opuntia megacantha var. tenuispina Salm-Dyck,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.,Opuntia megacantha Salm-Dyck,Opuntia megacantha Salm-Dyck
209080,Opuntia megacantha Salm-Dyck,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.,Opuntia megacantha Salm-Dyck,Opuntia megacantha Salm-Dyck
209147,Platyopuntia vulgaris (Mill.) F.Ritter,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.
209150,Cactus opuntia L.,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.
209155,Cactus opuntia var. vulgaris (Mill.) DC.,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.
209166,Opuntia compressa J.F.Macbr.,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa (Raf.) Raf.,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica (L.) Mill.
209270,Opuntia roborensis Cárdenas,Opuntia retrorsa Speg.,Opuntia retrorsa Speg.,Opuntia retrorsa Speg.,Opuntia retrorsa Speg.,Opuntia stenarthra K.Schum.,Opuntia stenarthra K.Schum.
209290,Opuntia jamaicensis Britton & Harris,Opuntia tuna (L.) Mill.,Opuntia tuna (L.) Mill.,Opuntia tuna (L.) Mill.,Opuntia tuna (L.) Mill.,Opuntia jamaicensis Britton & Harris,Opuntia jamaicensis Britton & Harris
209578,Opuntia hattoniana Britton & Rose,Opuntia curassavica (L.) Mill.,Opuntia curassavica (L.) Mill.,Opuntia curassavica (L.) Mill.,Opuntia curassavica (L.) Mill.,Opuntia repens subsp. taylorii (Britton & Rose) Guiggi,Opuntia repens Bello
209580,Opuntia taylorii Britton & Rose,Opuntia curassavica (L.) Mill.,Opuntia curassavica (L.) Mill.,Opuntia curassavica (L.) Mill.,Opuntia curassavica (L.) Mill.,Opuntia repens subsp. taylorii (Britton & Rose) Guiggi,Opuntia repens Bello
209931,Oxalis macra Small,Oxalis oregana Nutt.,Oxalis oregana Nutt.,Oxalis oregana Nutt.,Oxalis oregana Nutt.,Oxalis smalliana R.Knuth,Oxalis smalliana R.Knuth
210598,Phelipanche schwingenschussii (Gilli) Holub,Orobanche schultzii Mutel,Orobanche schultzii Mutel,Orobanche schultzii Mutel,Orobanche schultzii Mutel,Orobanche schwingenschussii Gilli,Orobanche schwingenschussii Gilli
210603,Orobanche schwingenschussii Gilli,Orobanche schultzii Mutel,Orobanche schultzii Mutel,Orobanche schultzii Mutel,Orobanche schultzii Mutel,Orobanche schwingenschussii Gilli,Orobanche schwingenschussii Gilli
210716,Orobanche laserpitii-sileris var. habrocaulon Beck,Orobanche laserpitii-sileris Reut. ex Jord.,Orobanche laserpitii-sileris Reut. ex Jord.,Orobanche laserpitii-sileris Reut. ex Jord.,Orobanche laserpitii-sileris Reut. ex Jord.,Orobanche beauverdii Uhlich & Rätzel,Orobanche beauverdii Uhlich & Rätzel
210717,Orobanche gallica Beauverd,Orobanche laserpitii-sileris Reut. ex Jord.,Orobanche laserpitii-sileris Reut. ex Jord.,Orobanche laserpitii-sileris Reut. ex Jord.,Orobanche laserpitii-sileris Reut. ex Jord.,Orobanche beauverdii Uhlich & Rätzel,Orobanche beauverdii Uhlich & Rätzel
210965,Orobanche colorata K.Koch,Orobanche anatolica Boiss. & Reut.,Orobanche anatolica Boiss. & Reut.,Orobanche anatolica Boiss. & Reut.,Orobanche anatolica Boiss. & Reut.,Orobanche colorata K.Koch,Orobanche colorata K.Koch
211132,Orobanche raddeana Beck,Orobanche alba subsp. xanthostigma Rätzel & Uhlich,Orobanche alba subsp. xanthostigma Rätzel & Uhlich,Orobanche alba subsp. alba,Orobanche alba Stephan ex Willd.,Orobanche raddeana Beck,Orobanche raddeana Beck
212022,Oenothera lavandulifolia var. glandulosa Munz,Oenothera lavandulifolia Torr. & A.Gray,Oenothera lavandulifolia Torr. & A.Gray,Oenothera lavandulifolia Torr. & A.Gray,Oenothera lavandulifolia Torr. & A.Gray,Oenothera hartwegii subsp. hartwegii,Oenothera hartwegii Benth.
212639,Turraea thouarsiana (Baill.) Cavaco & Keraudren,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Turraea thouarsiana (Baill.) Cavaco & Keraudren,Turraea thouarsiana (Baill.) Cavaco & Keraudren
212642,Olax thouarsiana Baill.,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Olax psittacorum (Lam.) Vahl,Turraea thouarsiana (Baill.) Cavaco & Keraudren,Turraea thouarsiana (Baill.) Cavaco & Keraudren
