,taxon_name_w_authors,accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_direct_accepted_name_w_author
6573,Polygala membranacea (Miq.) Görts,Polygala membranacea (Miq.) Görts,Polygala membranacea (Miq.) Görts,,
8716,Scirpus asper var. diffusus (Beetle) Beetle,"Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr",Rhodoscirpus asper var. asper
8984,Piptadenia peregrina var. falcata (Benth.) Chodat & Hassl.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera falcata (Benth.) Speg.
8985,Anadenanthera peregrina var. falcata (Benth.) Altschul,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera falcata (Benth.) Speg.
8986,Anadenanthera falcata (Benth.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera falcata (Benth.) Speg.
9688,Coprosma grandifolia Hook.f.,Coprosma lucida var. lucida,Coprosma lucida var. lucida,Coprosma lucida var. lucida,Coprosma grandifolia Hook.f.
9824,Rubus foliosus var. monticola (Boulay) Sudre,Rubus foliosus Weihe,Rubus foliosus Weihe,Rubus foliosus Weihe,Rubus pallidus Weihe
9874,Quercus × tlemcenensis (A.DC.) Villar,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.
9875,Quercus mirbeckii f. tlemcenensis (A.DC.) Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.
9876,Quercus faginea var. tlemcenensis (A.DC.) Maire,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.
9877,Quercus faginea subsp. tlemcenensis (A.DC.) Maire & Weiller ex Greuter & Burdet,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.
9878,Quercus broteroi subsp. tlemcenensis (A.DC.) F.M.Vázquez & Coombes,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.
10558,Coffea arabica var. angustifolia (Roxb.) Miq. ex A.Froehner,Pittosporum moluccanum (Lam.) Miq.,Pittosporum moluccanum (Lam.) Miq.,Pittosporum moluccanum (Lam.) Miq.,Pittosporum timorense Blume
10595,Pilostaxis carteri (Small) Small,Polygala balduini Nutt.,Polygala balduini Nutt.,Senega balduini (Nutt.) J.F.B.Pastore & J.R.Abbott,Senega balduini var. carteri (Small) J.F.B.Pastore & J.R.Abbott
10596,Polygala balduini var. carteri (Small) R.R.Sm. & D.B.Ward,Polygala balduini Nutt.,Polygala balduini Nutt.,Senega balduini (Nutt.) J.F.B.Pastore & J.R.Abbott,Senega balduini var. carteri (Small) J.F.B.Pastore & J.R.Abbott
12996,Ficus courtallensis (Miq.) Baill.,Ficus arnottiana (Miq.) Miq.,Ficus arnottiana (Miq.) Miq.,Ficus arnottiana (Miq.) Miq.,Ficus hispida var. hispida
16762,Helichrysum italicum var. libanotis (Jord. & Fourr.) O.Bolòs & Vigo,Helichrysum italicum subsp. serotinum (DC.) P.Fourn.,Helichrysum italicum subsp. serotinum (DC.) P.Fourn.,Helichrysum serotinum (DC.) Boiss.,Helichrysum serotinum subsp. serotinum
16895,Morella pumila (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica pusilla Raf.
16896,Cerothamnus pumilus (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica pusilla Raf.
17429,Hieracium lamprophyllum subsp. mendiolanum (Arv.-Touv. & Gaut.) Zahn,Hieracium lamprophyllum Scheele,Hieracium lamprophyllum Scheele,Hieracium lamprophyllum Scheele,Hieracium lamprophyllum subsp. lamprophyllum
17515,Pilosella flagellaris subsp. pertenuiglandula (Lengyel & Zahn) Soják,Pilosella flagellaris (Willd.) Arv.-Touv.,Pilosella flagellaris (Willd.) Arv.-Touv.,Pilosella flagellaris (Willd.) Arv.-Touv.,Pilosella flagellaris subsp. flagellaris
17642,Fagara setosa (Hemsl.) Engl.,Zanthoxylum simulans Hance,Zanthoxylum simulans Hance,Zanthoxylum simulans Hance,Zanthoxylum simulans subsp. simulans
17918,Rosa × involuta var. wilsonii (Borrer) Baker,Rosa × involuta Sm.,Rosa × involuta Sm.,Rosa × involuta Sm.,Rosa × andrzeiowskii Steven ex Besser
18336,Passiflora foetida var. riparia (C.Wright ex Griseb.) Killip,Passiflora ciliata var. ciliata,Passiflora ciliata var. ciliata,Passiflora ciliata var. ciliata,Passiflora wrightiana H.T.Svoboda
19878,Linaria bordiana subsp. kralikiana (Maire) D.A.Sutton,Linaria bordiana Santa & Simonn.,Linaria bordiana Santa & Simonn.,Linaria bordiana Santa & Simonn.,Linaria bordiana subsp. kralikiana (Maire) D.A.Sutton
22112,Lomandra micrantha var. sororia (Benth.) H.B.Will.,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra oreophila B.J.Conn & A.L.Quirico
22113,Lomandra oreophila B.J.Conn & A.L.Quirico,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra oreophila B.J.Conn & A.L.Quirico
22231,Rosa × glabra (Baker) Wolley-Dod,Rosa × margerisonii F.Lees,Rosa × margerisonii F.Lees,Rosa × margerisonii F.Lees,
22342,Polygala ariadnae Bernardi,Polygala mandonii Chodat,Polygala mandonii Chodat,Senega mandonii (Chodat) J.F.B.Pastore,Senega gracilis (Kunth) J.F.B.Pastore
22913,Gonostegia concinna (Wight) Miq.,Gonostegia pentandra var. wightii (Benn.) Pull. & Karupp.,Gonostegia pentandra var. wightii (Benn.) Pull. & Karupp.,Gonostegia wightii (Benn.) Pusalkar & Ingle,Gonostegia wightii var. wightii
22924,Phenax concinna (Wight) Wedd.,Gonostegia pentandra var. wightii (Benn.) Pull. & Karupp.,Gonostegia pentandra var. wightii (Benn.) Pull. & Karupp.,Gonostegia wightii (Benn.) Pusalkar & Ingle,Gonostegia wightii var. wightii
22925,Memorialis ternata var. concinna (Wight) Wedd.,Gonostegia pentandra var. wightii (Benn.) Pull. & Karupp.,Gonostegia pentandra var. wightii (Benn.) Pull. & Karupp.,Gonostegia wightii (Benn.) Pusalkar & Ingle,Gonostegia wightii var. wightii
22926,Memorialis concinna (Wight) Wedd.,Gonostegia pentandra var. wightii (Benn.) Pull. & Karupp.,Gonostegia pentandra var. wightii (Benn.) Pull. & Karupp.,Gonostegia wightii (Benn.) Pusalkar & Ingle,Gonostegia wightii var. wightii
23099,Paraspalathus simsiana (Eckl. & Zeyh.) C.Presl,Aspalathus araneosa L.,Aspalathus araneosa L.,Aspalathus araneosa L.,Aspalathus callosa L.
23153,Polygala alba var. bicolor (Kunth) Chodat,Polygala alba Nutt.,Polygala alba Nutt.,Senega alba (Nutt.) J.F.B.Pastore & J.R.Abbott,Senega ambigua (Nutt.) J.F.B.Pastore & J.R.Abbott
23398,Pleione cycnoches (C.S.P.Parish & Rchb.f.) Kuntze,Coelogyne fuscescens Lindl.,Coelogyne fuscescens Lindl.,Coelogyne fuscescens Lindl.,Coelogyne cycnoches C.S.P.Parish & Rchb.f.
23954,Rosa pugetii var. thomasii (Puget ex Cottet) Heinr.Braun,Rosa marginata Wallr.,Rosa marginata Wallr.,Rosa marginata Wallr.,Rosa abietina Gren. ex Christ
24856,Rosa × cottetii var. aberrans (Wolley-Dod) P.V.Heath,Rosa × scabriuscula Winch ex Sm.,Rosa × scabriuscula Winch ex Sm.,Rosa × scabriuscula Winch ex Sm.,Rosa × aberrans Wolley-Dod
25174,Mesembryanthemum floriferum N.E.Br.,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia pillansii (L.Bolus) Klak & P.C.van Wyk
25391,Juncus bufonius subsp. minutulus Soó,Juncus minutulus (Albert & Jahand.) Prain,Juncus minutulus (Albert & Jahand.) Prain,Juncus minutulus (Albert & Jahand.) Prain,Juncus bufonius L.
25634,Rosa × hibernica f. wilsonii (Borrer) Wolley-Dod,Rosa × hibernica Templeton,Rosa × hibernica Templeton,Rosa × hibernica Templeton,Rosa × andrzeiowskii Steven ex Besser
25678,Phalaenopsis cornu-cervi f. borneensis (Garay) O.Gruss & M.Wolff,Phalaenopsis cornu-cervi (Breda) Blume & Rchb.f.,Phalaenopsis cornu-cervi (Breda) Blume & Rchb.f.,Phalaenopsis cornu-cervi (Breda) Blume & Rchb.f.,Phalaenopsis pantherina Rchb.f.
25878,Hepatica nobilis f. rhodantha (Fernald) Steyerm.,Hepatica americana (DC.) Ker Gawl.,Hepatica americana (DC.) Ker Gawl.,Hepatica americana (DC.) Ker Gawl.,Hepatica americana var. americana
28826,Meringium merrillii (Christ) Copel.,Hymenophyllum holochilum (Bosch) C.Chr.,Hymenophyllum holochilum (Bosch) C.Chr.,Hymenophyllum holochilum (Bosch) C.Chr.,Hymenophyllum merrillii Christ
29202,Brachypodium pinnatum f. cespitosum (Host) Bolzon,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium rupestre subsp. cespitosum (Host) H.Scholz
29272,Brachypodium pinnatum proles cespitosum (Host) Rouy,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium rupestre subsp. cespitosum (Host) H.Scholz
29273,Brachypodium pinnatum subsp. cespitosum (Host) Hack.,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium rupestre subsp. cespitosum (Host) H.Scholz
29274,Brachypodium rupestre subsp. cespitosum (Host) H.Scholz,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium rupestre subsp. cespitosum (Host) H.Scholz
29275,Brachypodium pinnatum var. cespitosum (Host) Mert. & W.D.J.Koch,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium rupestre subsp. cespitosum (Host) H.Scholz
29433,Covellia conglomerata (Roxb.) Miq.,Ficus semicordata var. semicordata,Ficus semicordata var. semicordata,Ficus semicordata var. semicordata,Ficus semicordata var. conglomerata (Roxb.) Corner
29511,Ficus semicordata var. conglomerata (Roxb.) Corner,Ficus semicordata var. semicordata,Ficus semicordata var. semicordata,Ficus semicordata var. semicordata,Ficus semicordata var. conglomerata (Roxb.) Corner
30107,Rubus serpens var. vogesiacus (P.J.Müll.) Sudre,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,
30471,Cephalomanes insigne var. makinoi (C.Chr.) Sa.Kurata,Trichomanes latealatum (Bosch) Christ,Trichomanes latealatum (Bosch) Christ,Trichomanes latealatum (Bosch) Christ,Trichomanes makinoi C.Chr.
30523,Cinnamomum camphora f. cyclophyllum (Nakai) M.Kim,Cinnamomum camphora (L.) J.Presl,Cinnamomum camphora (L.) J.Presl,Camphora officinarum Boerh. ex Fabr.,Camphora officinarum var. officinarum
30678,Potentilla taurica var. tutuiatuensis (Prodan) Borza,Potentilla taurica Willd. ex D.F.K.Schltdl.,Potentilla taurica Willd. ex D.F.K.Schltdl.,Potentilla taurica Willd. ex D.F.K.Schltdl.,Potentilla astracanica subsp. astracanica
30903,Rosa × dumetorum var. hemitricha (Ripart ex Déségl.) Heinr.Braun,Rosa corymbifera Borkh.,Rosa corymbifera Borkh.,Rosa corymbifera Borkh.,Rosa × hemitricha Ripart ex Déségl.
30909,Rosa canina f. hemitricha (Ripart ex Déségl.) Popek,Rosa corymbifera Borkh.,Rosa corymbifera Borkh.,Rosa corymbifera Borkh.,Rosa × hemitricha Ripart ex Déségl.
30910,Rosa urbica var. hemitricha (Ripart ex Déségl.) Boullu,Rosa corymbifera Borkh.,Rosa corymbifera Borkh.,Rosa corymbifera Borkh.,Rosa × hemitricha Ripart ex Déségl.
30939,Rosa × dumetorum f. hemitricha (Ripart ex Déségl.) Borbás,Rosa corymbifera Borkh.,Rosa corymbifera Borkh.,Rosa corymbifera Borkh.,Rosa × hemitricha Ripart ex Déségl.
30971,Octomeria stellata (Lindl.) Spreng.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.
30972,Tainia stellata (Lindl.) Pfitzer,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.
31033,Parthenocissus inserta (A.Kern.) Fritsch,Parthenocissus quinquefolia (L.) Planch.,Parthenocissus quinquefolia (L.) Planch.,Parthenocissus quinquefolia (L.) Planch.,Parthenocissus inserta (A.Kern.) Fritsch
31113,Rosa communis var. hemitricha (Ripart ex Déségl.) Rouy & E.G.Camus,Rosa corymbifera Borkh.,Rosa corymbifera Borkh.,Rosa corymbifera Borkh.,Rosa × hemitricha Ripart ex Déségl.
31121,Pinalia stellata (Lindl.) Kuntze,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.
31171,Rosa × nitidula f. ovifera (Borbás) Heinr.Braun,Rosa × nitidula Besser,Rosa × nitidula Besser,Rosa × nitidula Besser,Rosa × malmundariensis Lej.
31559,Dactylorhiza majalis var. pulchella (Druce) R.M.Bateman & Denholm,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó,Dactylorhiza purpurella var. purpurella
31560,Orchis purpurella var. pulchella (Druce) Pugsley,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó,Dactylorhiza purpurella var. purpurella
31561,Dactylorhiza purpurella var. pulchella (Druce) Soó,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó,Dactylorhiza purpurella var. purpurella
31759,Goswamia indica (B.L.Yadav & H.K.Goswami) Li Bing Zhang & Liang Zhang,Ophioglossum rubellum Welw. ex A.Braun,Ophioglossum rubellum Welw. ex A.Braun,Ophioglossum rubellum Welw. ex A.Braun,Ophioglossum oleosum Khand.
31826,Goswamia malviae (M.Patel & M.N.Reddy) Li Bing Zhang & Liang Zhang,Ophioglossum rubellum Welw. ex A.Braun,Ophioglossum rubellum Welw. ex A.Braun,Ophioglossum rubellum Welw. ex A.Braun,Ophioglossum oleosum Khand.
32033,Ornithogalum umbellatum var. nanum Nyman,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum subsp. umbellatum
32854,Pinguicula vulgaris f. albida (Behm) Neuman,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris subsp. vulgaris
32907,Minuartia tenuifolia var. arvatica (C.Presl) Maire,Sabulina mediterranea (Ledeb. ex Link) Rchb.,Sabulina mediterranea (Ledeb. ex Link) Rchb.,Sabulina mediterranea (Ledeb. ex Link) Rchb.,Sabulina mediterranea subsp. mediterranea
32920,Alsine tenuifolia proles arvatica (C.Presl) Rouy & Foucaud,Sabulina mediterranea (Ledeb. ex Link) Rchb.,Sabulina mediterranea (Ledeb. ex Link) Rchb.,Sabulina mediterranea (Ledeb. ex Link) Rchb.,Sabulina mediterranea subsp. mediterranea
35082,Rubus genevieri subsp. herminicus (Samp.) Cout.,Rubus bracteatus Boreau,Rubus bracteatus Boreau,Rubus bracteatus Boreau,Rubus radula Weihe
35083,Rubus genevieri var. herminicus (Samp.) Cout.,Rubus bracteatus Boreau,Rubus bracteatus Boreau,Rubus bracteatus Boreau,Rubus radula Weihe
35221,Pilosella schultesii subsp. pseudohandelii (Lengyel & Zahn) Soják,Pilosella schultesii (F.W.Schultz) F.W.Schultz & Sch.Bip. ex H.P.Fuchs,Pilosella schultesii (F.W.Schultz) F.W.Schultz & Sch.Bip. ex H.P.Fuchs,Pilosella schultesii (F.W.Schultz) F.W.Schultz & Sch.Bip. ex H.P.Fuchs,Pilosella schultesii subsp. schultesii
35292,Calendula suffruticosa var. tunetana (Cuénod) Ohle,Calendula suffruticosa subsp. suffruticosa,Calendula suffruticosa subsp. suffruticosa,Calendula suffruticosa subsp. suffruticosa,Calendula suffruticosa subsp. tunetana (Cuénod) A.C.Gonç. & P.Silveira
35612,Scirpus subasper Beetle,"Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr","Rhodoscirpus asper (J.Presl & C.Presl) Lév.-Bourret, Donadío & J.R.Starr",Rhodoscirpus asper var. asper
35975,Dichanthelium sabulorum var. polycladum (Ekman) Zuloaga,Dichanthelium sabulorum (Lam.) Gould & C.A.Clark,Dichanthelium sabulorum (Lam.) Gould & C.A.Clark,Dichanthelium sabulorum (Lam.) Gould & C.A.Clark,Dichanthelium sabulorum var. polycladum (Ekman) Zuloaga
35976,Panicum sabulorum var. polycladum (Ekman) R.A.Palacios,Dichanthelium sabulorum (Lam.) Gould & C.A.Clark,Dichanthelium sabulorum (Lam.) Gould & C.A.Clark,Dichanthelium sabulorum (Lam.) Gould & C.A.Clark,Dichanthelium sabulorum var. polycladum (Ekman) Zuloaga
36810,Potentilla argentea guentheri (Spreng.) Döll,Potentilla argentea L.,Potentilla argentea L.,Potentilla argentea L.,Potentilla wimanniana Günther & Schummel
42431,Pyrus communis var. nivalis (Jacq.) Fiori,Pyrus communis subsp. communis,Pyrus communis subsp. communis,Pyrus communis subsp. communis,Pyrus nivalis Jacq.
42672,Pilosella myriadenia (Boiss. & Reut. ex Rchb.f.) F.W.Schultz & Sch.Bip.,Pilosella vahlii (Froel.) F.W.Schultz & Sch.Bip.,Pilosella vahlii (Froel.) F.W.Schultz & Sch.Bip.,Pilosella vahlii (Froel.) F.W.Schultz & Sch.Bip.,Pilosella vahlii subsp. vahlii
42673,Hieracium vahlii subsp. myriadenum (Boiss. & Reut. ex Rchb.f.) Rivas Mart.,Pilosella vahlii (Froel.) F.W.Schultz & Sch.Bip.,Pilosella vahlii (Froel.) F.W.Schultz & Sch.Bip.,Pilosella vahlii (Froel.) F.W.Schultz & Sch.Bip.,Pilosella vahlii subsp. vahlii
45294,Hieracium pseudauriculiforme (Zahn) B.D.Jacks.,Pilosella schultesii (F.W.Schultz) F.W.Schultz & Sch.Bip. ex H.P.Fuchs,Pilosella schultesii (F.W.Schultz) F.W.Schultz & Sch.Bip. ex H.P.Fuchs,Pilosella schultesii (F.W.Schultz) F.W.Schultz & Sch.Bip. ex H.P.Fuchs,Pilosella schultesii subsp. schultesii
45805,Polygala aquilonia (Fernald & B.G.Schub.) Sorrie & Weakley,Polygala cruciata L.,Polygala cruciata L.,Senega cruciata (L.) J.F.B.Pastore & J.R.Abbott,Senega aquilonia (Fernald & B.G.Schub.) J.F.B.Pastore & J.R.Abbott
45928,Papaver nudicaule var. commune (Turcz.) Tolm.,"Oreomecon nudicaulis (L.) Banfi, Bartolucci, J.-M.Tison & Galasso","Oreomecon nudicaulis (L.) Banfi, Bartolucci, J.-M.Tison & Galasso","Oreomecon nudicaulis (L.) Banfi, Bartolucci, J.-M.Tison & Galasso",Oreomecon nudicaulis subsp. nudicaulis
46170,Festuca yvesii subsp. bellottii (Auquier & Kerguélen) Kerguélen,"Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi","Lolium font-queri (St.-Yves) Banfi, Galasso, Foggi, Kopecký & Ardenghi",Festuca billyi Kerguélen & Plonka
46769,Rubus chloocladus subsp. emollitus (Sudre) Soó,Rubus chloocladus W.C.R.Watson,Rubus chloocladus W.C.R.Watson,Rubus chloocladus W.C.R.Watson,Rubus stenopetalus Lefèvre & P.J.Müll.
46832,Astragalus malheurensis A.Heller,Astragalus eremiticus E.Sheld.,Astragalus eremiticus E.Sheld.,Astragalus eremiticus E.Sheld.,Astragalus eremiticus var. spencianus M.E.Jones
46928,Poterium sanguisorba genuinum Ducommun,Sanguisorba minor subsp. minor,Sanguisorba minor subsp. minor,Sanguisorba minor subsp. minor,Sanguisorba minor Scop.
46929,Poterium sanguisorba var. genuinum Rouy & E.G.Camus,Sanguisorba minor subsp. minor,Sanguisorba minor subsp. minor,Sanguisorba minor subsp. minor,Sanguisorba minor Scop.
50189,Rubus pubescens subsp. emollitus (Sudre) Sudre,Rubus pubescens Raf.,Rubus pubescens Raf.,Rubus pubescens Raf.,Rubus stenopetalus Lefèvre & P.J.Müll.
50222,Quercus pedunculata var. csatoi (Borbás) Nyman,Quercus × kerneri nothosubsp. kerneri,Quercus × kerneri nothosubsp. kerneri,Quercus × kerneri nothosubsp. kerneri,
50526,Cochlearia macrorrhiza (Schur) Pobed.,Cochlearia pyrenaica DC.,Cochlearia pyrenaica DC.,Cochlearia pyrenaica DC.,Cochlearia pyrenaica subsp. pyrenaica
50590,Sanguisorba sanguisorba (L.) Britton,Sanguisorba minor subsp. minor,Sanguisorba minor subsp. minor,Sanguisorba minor subsp. minor,Sanguisorba minor Scop.
50608,Pimpinella sanguisorba (L.) Gaertn.,Sanguisorba minor subsp. minor,Sanguisorba minor subsp. minor,Sanguisorba minor subsp. minor,Sanguisorba minor Scop.
50943,Molinia caerulea var. depauperata (Tinant) Bab.,Molinia caerulea (L.) Moench,Molinia caerulea (L.) Moench,Molinia caerulea (L.) Moench,Molinia caerulea subsp. caerulea
51135,Molinia caerulea proles depauperata (Tinant) Rouy,Molinia caerulea (L.) Moench,Molinia caerulea (L.) Moench,Molinia caerulea (L.) Moench,Molinia caerulea subsp. caerulea
53462,Cirsium × grandiflorum var. jaegeri (F.Schultz) Rouy,"× Lophiocirsium gerhardtii (Sch.Bip.) Del Guacchio, Bureš, Iamonico & P.Caputo","× Lophiocirsium gerhardtii (Sch.Bip.) Del Guacchio, Bureš, Iamonico & P.Caputo",,
54092,Rubus serpens var. euryphyllus (P.J.Müll.) Sudre,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,Rubus perplexus P.J.Müll. ex Wirtg.,
54351,Crepis nana var. lyratifolia (Turcz.) Hultén,Askellia pygmaea (Ledeb.) Sennikov,Askellia pygmaea (Ledeb.) Sennikov,Askellia pygmaea (Ledeb.) Sennikov,Askellia pygmaea var. pygmaea
54620,Pulsatilla austriaca (Aichele & Schwegler) Landolt,Pulsatilla scherfelii (Ullep.) Skalický,Pulsatilla scherfelii (Ullep.) Skalický,Pulsatilla scherfelii (Ullep.) Skalický,Pulsatilla scherfelii subsp. scherfelii
54816,Guajava cuprea (O.Berg) Kuntze,Psidium rufum Mart. ex DC.,Psidium rufum Mart. ex DC.,Psidium rufum Mart. ex DC.,Psidium cupreum O.Berg
54868,Hieracium cordifolium subsp. dubyanum (Arv.-Touv.) Zahn,Hieracium cezycola Arv.-Touv. & Gaut.,Hieracium cezycola Arv.-Touv. & Gaut.,Hieracium cezycola Arv.-Touv. & Gaut.,Hieracium cezycola subsp. cezycola
