,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species,v16_chained_accepted_genus,v16_direct_accepted_genus
414235,Artemisia forwoodii S.Watson,Artemisia caudata Michx.,Artemisia caudata Michx.,Artemisia caudata Michx.,Artemisia caudata,Artemisia canadensis Michx.,Artemisia canadensis,Artemisia,Artemisia
414280,Absinthium divaricatum Fisch. ex Besser,Artemisia divaricata (Pamp.) Pamp.,Artemisia divaricata (Pamp.) Pamp.,Artemisia divaricata (Pamp.) Pamp.,Artemisia divaricata,Artemisia anethifolia Weber ex Stechm.,Artemisia anethifolia,Artemisia,Artemisia
414297,Artemisia spicata subsp. villarsii (Godr.) Arcang.,Artemisia genipi subsp. genipi,Artemisia genipi subsp. genipi,Artemisia genipi subsp. genipi,Artemisia genipi,Artemisia eriantha Ten.,Artemisia eriantha,Artemisia,Artemisia
414669,Artemisia aethiopica L.,Artemisia herba-alba Asso,Artemisia herba-alba Asso,Artemisia herba-alba Asso,Artemisia herba-alba,Artemisia aethiopica L.,Artemisia aethiopica,Artemisia,Artemisia
414740,Artemisia inculta Delile,Artemisia sieberi Besser,Artemisia sieberi Besser,Artemisia sieberi Besser,Artemisia sieberi,Artemisia inculta Delile,Artemisia inculta,Artemisia,Artemisia
415091,Pyrethrum myriophyllum C.A.Mey.,Tanacetum argyrophyllum (K.Koch) Tzvelev,Tanacetum argyrophyllum (K.Koch) Tzvelev,Tanacetum argyrophyllum (K.Koch) Tzvelev,Tanacetum argyrophyllum,Tanacetum polycephalum subsp. duderanum (Boiss.) Podlech,Tanacetum polycephalum,Tanacetum,Tanacetum
415357,Chamaemelum kochii Boiss.,Tripleurospermum melanolepis (Boiss. & Buhse) Pobed.,Tripleurospermum melanolepis (Boiss. & Buhse) Pobed.,Tripleurospermum melanolepis (Boiss. & Buhse) Pobed.,Tripleurospermum melanolepis,Tripleurospermum microcephalum (Boiss.) Bornm.,Tripleurospermum microcephalum,Tripleurospermum,Tripleurospermum
415555,Chrysanthemum tanacetum Vis.,Tanacetum vulgare subsp. vulgare,Tanacetum vulgare subsp. vulgare,Tanacetum vulgare subsp. vulgare,Tanacetum vulgare,Tanacetum balsamita var. balsamitoides (Sch.Bip.) P.D.Sell,Tanacetum balsamita,Tanacetum,Tanacetum
415704,Leucanthemum vulgare subsp. eliasii (Sennen & Pau) Sennen & Pau,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare,"Leucanthemum eliasii (Sennen & Pau) Vogt, Konowalik & Oberpr.",Leucanthemum eliasii,Leucanthemum,Leucanthemum
415709,"Chrysanthemum alpicola (Gremli) H.Hess, Landolt & Hirzel",Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare,Leucanthemum gaudinii Dalla Torre,Leucanthemum gaudinii,Leucanthemum,Leucanthemum
415710,Leucanthemum vulgare var. ageratifolium (Pau) Font Quer,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare,Leucanthemum ageratifolium Pau,Leucanthemum ageratifolium,Leucanthemum,Leucanthemum
415719,Leucanthemum ageratifolium Pau,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare,Leucanthemum ageratifolium Pau,Leucanthemum ageratifolium,Leucanthemum,Leucanthemum
415724,Leucanthemum praecox var. alpicola (Gremli) Villard,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare subsp. vulgare,Leucanthemum vulgare,Leucanthemum gaudinii Dalla Torre,Leucanthemum gaudinii,Leucanthemum,Leucanthemum
415766,Santolina chamaecyparissus var. intricata (Jord. & Fourr.) Guinea,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata,Santolina,Santolina
415767,Santolina valida Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata,Santolina,Santolina
415769,Santolina brevicaulis Jord.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata,Santolina,Santolina
415770,Santolina rigidula Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata,Santolina,Santolina
415771,Santolina intricata Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata,Santolina,Santolina
415772,Santolina chamaecyparissus var. rigidula (Jord. & Fourr.) Guinea,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana Jord. & Fourr.,Santolina benthamiana,Santolina intricata Jord. & Fourr.,Santolina intricata,Santolina,Santolina
415826,Chrysanthemum leucanthemum subsp. cuneifolium (Legrand ex H.J.Coste) P.Fourn.,Leucanthemum adustum subsp. adustum,Leucanthemum adustum subsp. adustum,Leucanthemum adustum subsp. adustum,Leucanthemum adustum,Leucanthemum cuneifolium Legrand ex H.J.Coste,Leucanthemum cuneifolium,Leucanthemum,Leucanthemum
415888,Balsamita virgata Desf.,Plagius grandis (L.) Alavi & Heywood,Plagius grandis (L.) Alavi & Heywood,Plagius grandis (L.) Alavi & Heywood,Plagius grandis,Leucanthemum virgatum (Desf.) Clos,Leucanthemum virgatum,Plagius,Leucanthemum
415892,Tanacetum virgatum (Desf.) Cramer,Plagius grandis (L.) Alavi & Heywood,Plagius grandis (L.) Alavi & Heywood,Plagius grandis (L.) Alavi & Heywood,Plagius grandis,Leucanthemum virgatum (Desf.) Clos,Leucanthemum virgatum,Plagius,Leucanthemum
415899,Plagius virgatus (Desf.) DC.,Plagius grandis (L.) Alavi & Heywood,Plagius grandis (L.) Alavi & Heywood,Plagius grandis (L.) Alavi & Heywood,Plagius grandis,Leucanthemum virgatum (Desf.) Clos,Leucanthemum virgatum,Plagius,Leucanthemum
415909,Leucanthemum vulgare var. pallidum (Fiori) Briq. & Cavill.,Leucanthemum pallens (J.Gay ex Perreym.) DC.,Leucanthemum pallens (J.Gay ex Perreym.) DC.,Leucanthemum pallens (J.Gay ex Perreym.) DC.,Leucanthemum pallens,Leucanthemum ircutianum subsp. leucolepis (Briq. & Cavill.) Vogt & Greuter,Leucanthemum ircutianum,Leucanthemum,Leucanthemum
416328,Inula saxatilis Lam.,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa,Chiliadenus glutinosus (L.) Fourr.,Chiliadenus glutinosus,Dittrichia,Chiliadenus
416330,Chiliadenus saxatilis (Lam.) Brullo,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa subsp. viscosa,Dittrichia viscosa,Chiliadenus glutinosus (L.) Fourr.,Chiliadenus glutinosus,Dittrichia,Chiliadenus
416707,Polycephalos suaveolens Forssk.,Sphaeranthus senegalensis DC.,Sphaeranthus senegalensis DC.,Sphaeranthus senegalensis DC.,Sphaeranthus senegalensis,Sphaeranthus suaveolens (Forssk.) DC.,Sphaeranthus suaveolens,Sphaeranthus,Sphaeranthus
417130,Bidens heterodoxa var. atheistica Fernald,Bidens heterodoxa Fernald & H.St.John,Bidens heterodoxa Fernald & H.St.John,Bidens heterodoxa Fernald & H.St.John,Bidens heterodoxa,Bidens infirma Fernald,Bidens infirma,Bidens,Bidens
417280,Bidens antiguensis var. salvadorensis Roseman,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417283,Bidens tereticaulis var. antiguensis (J.M.Coult.) O.E.Schulz,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417285,Bidens tereticaulis var. sordida Greenm.,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417288,Coreopsis scandens Sessé & Moc.,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417289,Coreopsis trifoliata Bertol.,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417290,Bidens squarrosa var. atrostriata Roseman,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417292,Bidens squarrosa var. hondurensis Roseman,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417294,Bidens squarrosa var. speciosa Roseman,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417296,Bidens squarrosa var. tereticaulis (DC.) Roseman,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417299,Bidens tereticaulis DC.,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417300,Bidens tereticaulis var. indivisa B.L.Rob.,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417301,Bidens squarrosa Kunth,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417304,Bidens antiguensis J.M.Coult.,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417305,Bidens coreopsidis var. procumbens Donn.Sm.,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417306,Bidens antiguensis var. procumbens (Donn.Sm.) Roseman,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans G.Don,Bidens reptans,Bidens squarrosa Kunth,Bidens squarrosa,Bidens,Bidens
417432,Coreopsis nuecensoides E.B.Sm.,Coreopsis nuecensis A.Heller,Coreopsis nuecensis A.Heller,Coreopsis nuecensis A.Heller,Coreopsis nuecensis,Coreopsis nuecensoides E.B.Sm.,Coreopsis nuecensoides,Coreopsis,Coreopsis
417639,Enydra woollsii F.Muell.,Enydra fluctuans Lour.,Enydra fluctuans Lour.,Enydra fluctuans Lour.,Enydra fluctuans,Enydra woollsii F.Muell.,Enydra woollsii,Enydra,Enydra
417756,Franseria bipinnatifida Nutt.,Ambrosia camphorata (Greene) W.W.Payne,Ambrosia camphorata (Greene) W.W.Payne,Ambrosia camphorata (Greene) W.W.Payne,Ambrosia camphorata,Ambrosia chamissonis (Less.) Greene,Ambrosia chamissonis,Ambrosia,Ambrosia
418325,Acanthoxanthium ambrosioides (Hook. & Arn.) D.Löve,Xanthium spinosum L.,Xanthium spinosum L.,Xanthium spinosum L.,Xanthium spinosum,Xanthium ambrosioides Hook. & Arn.,Xanthium ambrosioides,Xanthium,Xanthium
418663,Melanthera angustifolia var. subhastata O.E.Schulz,Melanthera nivea (L.) Small,Melanthera nivea (L.) Small,Melanthera nivea (L.) Small,Melanthera nivea,Melanthera angustifolia A.Rich.,Melanthera angustifolia,Melanthera,Melanthera
418671,Wulffia angustifolia (A.Rich.) M.Gómez,Melanthera nivea (L.) Small,Melanthera nivea (L.) Small,Melanthera nivea (L.) Small,Melanthera nivea,Melanthera angustifolia A.Rich.,Melanthera angustifolia,Melanthera,Melanthera
418672,Melanthera angustifolia A.Rich.,Melanthera nivea (L.) Small,Melanthera nivea (L.) Small,Melanthera nivea (L.) Small,Melanthera nivea,Melanthera angustifolia A.Rich.,Melanthera angustifolia,Melanthera,Melanthera
419063,Wedelia macrodonta var. parviflora Hassl.,Wedelia macrodonta DC.,Wedelia macrodonta DC.,Wedelia macrodonta DC.,Wedelia macrodonta,Wedelia pallida Gardner,Wedelia pallida,Wedelia,Wedelia
419108,Epilepis Benth.,Coreopsis L.,Coreopsis L.,Coreopsis L.,,Epilepis Benth.,,Coreopsis,Epilepis
419247,Chrysostemma Less.,Coreopsis L.,Coreopsis L.,Coreopsis L.,,Anacis Schrank,,Coreopsis,Anacis
419332,Agarista DC.,Coreopsis L.,Coreopsis L.,Coreopsis L.,,Leptosyne DC.,,Coreopsis,Leptosyne
419924,Calea clausseniana var. regnelliana Baker,Tetrachyron grayi (Klatt) Wussow & Urbatsch,Tetrachyron grayi (Klatt) Wussow & Urbatsch,Tetrachyron grayi (Klatt) Wussow & Urbatsch,Tetrachyron grayi,Calea formosa Chodat,Calea formosa,Tetrachyron,Calea
420189,Verbesina molinaria B.L.Rob. & Greenm.,Verbesina oncophora B.L.Rob. & Seaton,Verbesina oncophora B.L.Rob. & Seaton,Verbesina oncophora B.L.Rob. & Seaton,Verbesina oncophora,Verbesina molinaria B.L.Rob. & Greenm.,Verbesina molinaria,Verbesina,Verbesina
421041,Unxia anemonifolia Kunth,Villanova oppositifolia Lag.,Villanova oppositifolia Lag.,Villanova oppositifolia Lag.,Villanova oppositifolia,Villanova anemonifolia (Kunth) Less.,Villanova anemonifolia,Villanova,Villanova
421073,Perityle fitchii Torr. ex A.Gray,Perityle emoryi Torr.,Perityle emoryi Torr.,Perityle emoryi Torr.,Perityle emoryi,Perityle rotundifolia (Benth.) Brandegee,Perityle rotundifolia,Perityle,Perityle
421494,Mikania odorata Lehm.,Mikania eucosma B.L.Rob.,Mikania eucosma B.L.Rob.,Mikania eucosma B.L.Rob.,Mikania eucosma,Mikania scandens (L.) Willd.,Mikania scandens,Mikania,Mikania
421821,Adenostemma aquaticum D.Don,Adenostemma viscosum J.R.Forst. & G.Forst.,Adenostemma viscosum J.R.Forst. & G.Forst.,Adenostemma viscosum J.R.Forst. & G.Forst.,Adenostemma viscosum,Adenostemma lavenia var. latifolium (D.Don) Panigrahi,Adenostemma lavenia,Adenostemma,Adenostemma
422143,Eupatorium caaguazuense var. nervosum Chodat,Chromolaena squarrulosa (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena squarrulosa (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena squarrulosa (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena squarrulosa,Chromolaena nervosa (Chodat) A.L.Christ,Chromolaena nervosa,Chromolaena,Chromolaena
422416,Eupatorium punduanum Wall. ex DC.,Eupatorium cannabinum L.,Eupatorium cannabinum L.,Eupatorium cannabinum L.,Eupatorium cannabinum,Eupatorium punduanum Wall. ex DC.,Eupatorium punduanum,Eupatorium,Eupatorium
422459,Eupatorium cuneifolium Willd.,Eupatorium linearifolium Walter,Eupatorium linearifolium Walter,Eupatorium linearifolium Walter,Eupatorium linearifolium,Eupatorium rotundifolium L.,Eupatorium rotundifolium,Eupatorium,Eupatorium
422460,Eupatorium glaucescens Elliott,Eupatorium linearifolium Walter,Eupatorium linearifolium Walter,Eupatorium linearifolium Walter,Eupatorium linearifolium,Eupatorium glaucescens Elliott,Eupatorium glaucescens,Eupatorium,Eupatorium
422490,Eupatorium album var. monardifolium Fernald,Eupatorium vaseyi Porter,Eupatorium vaseyi Porter,Eupatorium vaseyi Porter,Eupatorium vaseyi,Eupatorium fernaldii R.K.Godfrey,Eupatorium fernaldii,Eupatorium,Eupatorium
422491,Eupatorium fernaldii R.K.Godfrey,Eupatorium vaseyi Porter,Eupatorium vaseyi Porter,Eupatorium vaseyi Porter,Eupatorium vaseyi,Eupatorium fernaldii R.K.Godfrey,Eupatorium fernaldii,Eupatorium,Eupatorium
422691,Lacinaria earlei Greene,Liatris squarrulosa Michx.,Liatris squarrulosa Michx.,Liatris squarrulosa Michx.,Liatris squarrulosa,Liatris spheroidea Michx.,Liatris spheroidea,Liatris,Liatris
422693,Lacinaria scabra Greene,Liatris squarrulosa Michx.,Liatris squarrulosa Michx.,Liatris squarrulosa Michx.,Liatris squarrulosa,Liatris spheroidea Michx.,Liatris spheroidea,Liatris,Liatris
422746,Praxelis riedelii Sch.Bip. ex Baker,Praxelis capillaris (DC.) Sch.Bip.,Praxelis capillaris (DC.) Sch.Bip.,Praxelis capillaris (DC.) Sch.Bip.,Praxelis capillaris,Praxelis odontodactyla (B.L.Rob.) R.M.King & H.Rob.,Praxelis odontodactyla,Praxelis,Praxelis
423111,Kuhnia leptophylla var. mexicana Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla,Brickellia mexicana (Shinners) G.L.Nesom,Brickellia mexicana,Brickellia,Brickellia
423112,Kuhnia microphylla Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla,Brickellia rosmarinifolia (Vent.) W.A.Weber,Brickellia rosmarinifolia,Brickellia,Brickellia
423113,Kuhnia rosmarinifolia Vent.,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla,Brickellia rosmarinifolia (Vent.) W.A.Weber,Brickellia rosmarinifolia,Brickellia,Brickellia
423114,Kuhnia schaffneri A.Gray,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla,Brickellia schaffneri (A.Gray) Shinners,Brickellia schaffneri,Brickellia,Brickellia
423115,Brickellia leptophylla var. mexicana (Shinners) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla,Brickellia mexicana (Shinners) G.L.Nesom,Brickellia mexicana,Brickellia,Brickellia
423116,Brickellia rosmarinifolia (Vent.) W.A.Weber,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla,Brickellia rosmarinifolia (Vent.) W.A.Weber,Brickellia rosmarinifolia,Brickellia,Brickellia
423117,Brickellia schaffneri (A.Gray) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla,Brickellia schaffneri (A.Gray) Shinners,Brickellia schaffneri,Brickellia,Brickellia
423118,Clavigera corymbosa DC.,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla,Brickellia corymbosa (DC.) A.Gray,Brickellia corymbosa,Brickellia,Brickellia
423119,Eupatorium canescens Ortega,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla (Scheele) Shinners,Brickellia leptophylla,Brickellia rosmarinifolia (Vent.) W.A.Weber,Brickellia rosmarinifolia,Brickellia,Brickellia
423125,Kuhnia eupatorioides var. gracilis Torr. & A.Gray,Brickellia mosieri (Small) Shinners,Brickellia mosieri (Small) Shinners,Brickellia mosieri (Small) Shinners,Brickellia mosieri,Brickellia eupatorioides (L.) Shinners,Brickellia eupatorioides,Brickellia,Brickellia
423644,Plectreca Raf.,Vernonia Schreb.,Vernonia Schreb.,Vernonia Schreb.,,Gymnanthemum Cass.,,Vernonia,Gymnanthemum
423780,Notonia DC.,Porophyllum Guett.,Porophyllum Guett.,Porophyllum Guett.,,Kleinia Mill.,,Porophyllum,Kleinia
423782,Notoniopsis B.Nord.,Porophyllum Guett.,Porophyllum Guett.,Porophyllum Guett.,,Kleinia Mill.,,Porophyllum,Kleinia
423819,Correllia A.M.Powell,Perityle Benth.,Perityle Benth.,Perityle Benth.,,Galinsogeopsis Sch.Bip.,,Perityle,Galinsogeopsis
423822,Nesothamnus Rydb.,Perityle Benth.,Perityle Benth.,Perityle Benth.,,Nesothamnus Rydb.,,Perityle,Nesothamnus
423823,Leptopharynx Rydb.,Perityle Benth.,Perityle Benth.,Perityle Benth.,,Laphamia A.Gray,,Perityle,Laphamia
423824,Monothrix Torr.,Perityle Benth.,Perityle Benth.,Perityle Benth.,,Laphamia A.Gray,,Perityle,Laphamia
423825,Galinsogeopsis Sch.Bip.,Perityle Benth.,Perityle Benth.,Perityle Benth.,,Galinsogeopsis Sch.Bip.,,Perityle,Galinsogeopsis
423826,Laphamia A.Gray,Perityle Benth.,Perityle Benth.,Perityle Benth.,,Laphamia A.Gray,,Perityle,Laphamia
423827,Pappothrix (A.Gray) Rydb.,Perityle Benth.,Perityle Benth.,Perityle Benth.,,Laphamia A.Gray,,Perityle,Laphamia
423890,Tuckermannia Nutt.,Coreopsis L.,Coreopsis L.,Coreopsis L.,,Leptosyne DC.,,Coreopsis,Leptosyne
423897,Anacis Schrank,Coreopsis L.,Coreopsis L.,Coreopsis L.,,Anacis Schrank,,Coreopsis,Anacis
424173,Elachanthemum Y.Ling & Y.R.Ling,Stilpnolepis Krasch.,Stilpnolepis Krasch.,Stilpnolepis Krasch.,,Elachanthemum Y.Ling & Y.R.Ling,,Stilpnolepis,Elachanthemum
424377,Parachionolaena M.O.Dillon & Sagást.,Chionolaena DC.,Chionolaena DC.,Chionolaena DC.,,Gnaphaliothamnus Kirp.,,Chionolaena,Gnaphaliothamnus
424568,Phonus Hill,Carthamus L.,Carthamus L.,Carthamus L.,,Phonus Hill,,Carthamus,Phonus
424572,Heracantha Hoffmanns. & Link,Carthamus L.,Carthamus L.,Carthamus L.,,Phonus Hill,,Carthamus,Phonus
424577,Femeniasia Susanna,Carthamus L.,Carthamus L.,Carthamus L.,,Femeniasia Susanna,,Carthamus,Femeniasia
424578,Carduncellus Adans.,Carthamus L.,Carthamus L.,Carthamus L.,,Carduncellus Adans.,,Carthamus,Carduncellus
424612,Centaurium Haller,Centaurea L.,Centaurea L.,Centaurea L.,,Rhaponticum Ludwig,,Centaurea,Rhaponticum
424703,Nothocalais (A.Gray) Greene,Microseris D.Don,Microseris D.Don,Microseris D.Don,,Nothocalais (A.Gray) Greene,,Microseris,Nothocalais
424707,Stebbinsoseris K.L.Chambers,Microseris D.Don,Microseris D.Don,Microseris D.Don,,Stebbinsoseris K.L.Chambers,,Microseris,Stebbinsoseris
424709,Uropappus Nutt.,Microseris D.Don,Microseris D.Don,Microseris D.Don,,Uropappus Nutt.,,Microseris,Uropappus
424721,Prenanthella Rydb.,Lygodesmia D.Don,Lygodesmia D.Don,Lygodesmia D.Don,,Prenanthella Rydb.,,Lygodesmia,Prenanthella
425725,Lycopodium alopecuroides var. pseudoreflexum Christ,Lycopodiella alopecuroides (L.) Cranfill,Lycopodiella alopecuroides (L.) Cranfill,Lycopodiella alopecuroides (L.) Cranfill,Lycopodiella alopecuroides,Lycopodiella longipes (Hook. & Grev.) Holub,Lycopodiella longipes,Lycopodiella,Lycopodiella
425966,Selaginella effusa var. dulongjiangensis W.M.Chu,Selaginella effusa Alston,Selaginella effusa Alston,Selaginella effusa Alston,Selaginella effusa,Selaginella monospora Spring,Selaginella monospora,Selaginella,Selaginella
426088,Selaginella hengduanshanicola W.M.Chu,Selaginella helvetica subsp. helvetica,Selaginella helvetica subsp. helvetica,Selaginella helvetica subsp. helvetica,Selaginella helvetica,Selaginella tibetica Ching & S.K.Wu,Selaginella tibetica,Selaginella,Selaginella
426089,Selaginella tibetica Ching & S.K.Wu,Selaginella helvetica subsp. helvetica,Selaginella helvetica subsp. helvetica,Selaginella helvetica subsp. helvetica,Selaginella helvetica,Selaginella tibetica Ching & S.K.Wu,Selaginella tibetica,Selaginella,Selaginella
426266,Selaginella jugorum Hand.-Mazz.,Selaginella nipponica Franch. & Sav.,Selaginella nipponica Franch. & Sav.,Selaginella nipponica Franch. & Sav.,Selaginella nipponica,Selaginella jugorum Hand.-Mazz.,Selaginella jugorum,Selaginella,Selaginella
426433,Lycopodioides sanguinolenta f. kantzensis (H.S.Kung) H.S.Kung,Selaginella sanguinolenta (L.) Spring,Selaginella sanguinolenta (L.) Spring,Selaginella sanguinolenta (L.) Spring,Selaginella sanguinolenta,Selaginella jacquemontii Spring,Selaginella jacquemontii,Selaginella,Selaginella
426435,Selaginella kansuensis Ching & Y.P.Hsu,Selaginella sanguinolenta (L.) Spring,Selaginella sanguinolenta (L.) Spring,Selaginella sanguinolenta (L.) Spring,Selaginella sanguinolenta,Selaginella aitchisonii Hieron.,Selaginella aitchisonii,Selaginella,Selaginella
426436,Selaginella sanguinolenta f. kantzensis H.S.Kung,Selaginella sanguinolenta (L.) Spring,Selaginella sanguinolenta (L.) Spring,Selaginella sanguinolenta (L.) Spring,Selaginella sanguinolenta,Selaginella jacquemontii Spring,Selaginella jacquemontii,Selaginella,Selaginella
426686,Isoetes engelmannii var. fontana A.A.Eaton,Isoetes engelmannii A.Braun,Isoetes engelmannii A.Braun,Isoetes engelmannii A.Braun,Isoetes engelmannii,Isoetes appalachiana D.F.Brunt. & D.M.Britton,Isoetes appalachiana,Isoetes,Isoetes
426762,Isoetes lacustris subsp. brochonii (Motelay) R.C.V.Douin,Isoetes lacustris L.,Isoetes lacustris L.,Isoetes lacustris L.,Isoetes lacustris,Isoetes × brochonii Motelay,Isoetes × brochonii,Isoetes,Isoetes
426845,Isoetes echinospora subsp. muricata (Durieu) Á.Löve & D.Löve,Isoetes setacea Lam.,Isoetes setacea Lam.,Isoetes setacea Lam.,Isoetes setacea,Isoetes muricata Durieu,Isoetes muricata,Isoetes,Isoetes
426846,Isoetes muricata Durieu,Isoetes setacea Lam.,Isoetes setacea Lam.,Isoetes setacea Lam.,Isoetes setacea,Isoetes muricata Durieu,Isoetes muricata,Isoetes,Isoetes
426880,Lycopodium complanatum subvar. foliaceum Farw.,Lycopodium complanatum L.,Lycopodium complanatum L.,Lycopodium complanatum L.,Lycopodium complanatum,Lycopodium digitatum Dill. ex A.Braun,Lycopodium digitatum,Lycopodium,Lycopodium
427293,Danaea muenchii Christ,Danaea moritziana C.Presl,Danaea moritziana C.Presl,Danaea moritziana C.Presl,Danaea moritziana,Danaea cuspidata Liebm.,Danaea cuspidata,Danaea,Danaea
427475,Lycopodium alopecuroides var. juergensii Rosenst.,Lycopodiella longipes (Hook. & Grev.) Holub,Lycopodiella longipes (Hook. & Grev.) Holub,Lycopodiella longipes (Hook. & Grev.) Holub,Lycopodiella longipes,Lycopodiella geometra B.Øllg. & P.G.Windisch,Lycopodiella geometra,Lycopodiella,Lycopodiella
